"ID_REF"	"GSM3753011"	"GSM3753012"	"GSM3753013"	"GSM3753014"	"GSM3753015"	"GSM3753016"
"236284_at"	48.016594	46.54119	52.323677	46.138138	54.45147	46.639145
"236285_at"	18.004995	18.41996	18.4614	19.250986	20.108278	22.230717
"236286_at"	91.60579	112.89809	111.47115	94.5689	105.86006	93.62825
"236287_at"	6.5976815	8.218818	7.7037377	9.316537	7.9085803	7.6457806
"236288_at"	48.751354	60.394974	83.7825	53.03936	53.14639	75.29023
"236289_at"	37.978233	45.10722	36.214127	40.461277	36.11778	42.591194
"236290_at"	19.553724	17.362156	20.174929	19.621286	18.445694	17.750906
"236291_at"	44.403866	69.32107	106.909256	61.25263	78.55423	97.52782
"236292_at"	32.955547	30.821377	35.314575	28.730183	35.98479	33.216656
"236293_at"	7.0521946	5.6153226	6.6742644	6.355176	6.82783	6.494428
"236294_at"	68.45543	84.504715	72.83886	71.02773	76.95291	76.42988
"236295_s_at"	7.2052746	8.818731	7.2325006	7.806828	8.977833	7.497933
"236296_x_at"	69.73116	75.435974	82.08176	78.141975	80.568275	58.287716
"236297_at"	5.618762	5.252117	5.6327724	5.719527	5.252117	5.5270004
"236298_at"	32.60205	31.625952	30.80607	27.975653	33.38758	27.173962
"236299_at"	11.928885	11.444839	12.872822	11.655236	12.955564	11.436522
"236300_at"	261.43658	181.8601	153.35016	270.19336	214.49094	209.71663
"236301_at"	10.709692	11.228099	11.818105	11.255263	10.60128	12.438394
"236302_at"	407.53796	314.51556	448.8908	532.97754	318.19565	531.6787
"236303_at"	14.386211	16.782013	16.62986	16.105446	15.6778145	14.482728
"236304_at"	7.943833	6.517466	5.8832564	6.4189787	7.0173388	6.681831
"236305_at"	42.60878	39.65371	37.243935	36.623455	37.820423	34.131702
"236306_at"	15.469869	17.505085	17.613577	18.251629	19.234509	17.637094
"236307_at"	11.439784	15.477346	19.333433	12.242134	15.235852	14.405694
"236308_at"	8.679914	9.6266	10.175029	7.308355	8.618565	8.595932
"236309_x_at"	66.84152	79.33827	71.70313	72.82088	75.74342	69.51559
"236310_at"	52.881035	59.389896	77.25799	48.960888	48.079193	68.986015
"236311_at"	65.38555	64.26167	49.898315	57.30511	61.76371	58.650234
"236312_at"	141.95676	154.86763	129.39883	129.58228	127.78383	116.31429
"236313_at"	5.9483314	7.669165	6.087102	6.5730705	7.235632	6.538306
"236314_at"	51.59906	48.749435	66.79527	51.92027	51.596195	76.70783
"236315_at"	16.523962	17.683458	20.044968	21.147661	20.759846	19.226797
"236316_at"	11.849404	14.174644	15.628799	14.377874	13.563347	18.069183
"236317_at"	53.159054	39.586555	45.117718	48.13464	44.91253	43.269367
"236318_x_at"	74.518326	84.70631	75.387215	78.5384	70.57973	74.35033
"236319_at"	41.2767	41.24979	47.4667	42.53083	44.467518	41.97378
"236320_at"	32.955547	38.039562	37.702118	29.928501	35.981567	36.771442
"236321_at"	216.85597	216.8021	185.54349	190.53474	262.11856	227.06508
"236322_at"	53.46396	50.03969	54.78522	49.63835	51.41036	65.748955
"236323_at"	24.84319	22.241247	23.659595	23.33898	21.356136	22.895006
"236324_at"	25.84818	24.9571	20.540735	27.590832	29.67562	19.51692
"236325_at"	4.995	4.293565	4.373078	4.8776717	5.5188327	4.792184
"236326_at"	9.557635	11.641029	13.561873	12.599198	11.303486	11.279338
"236327_at"	6.4567027	8.4387455	6.874005	5.7939014	7.9137287	7.6772957
"236328_at"	86.375336	89.147575	76.49622	78.379585	80.471565	94.39955
"236329_at"	34.334892	35.13052	38.278423	35.525417	30.20694	33.50291
"236330_at"	39.250576	34.384724	35.48248	41.17264	32.560955	33.835926
"236331_at"	98.67321	87.52675	66.43094	93.9821	95.448814	90.631775
"236332_at"	26.990204	26.601727	24.36626	27.133755	25.91588	27.662931
"236333_at"	17.919847	16.129429	19.139257	17.28804	17.245085	17.156193
"236334_at"	21.814314	26.228271	27.215254	22.460556	21.943945	22.022058
"236335_at"	5.146581	4.840016	5.4415445	4.9195833	5.1083236	4.933369
"236336_at"	95.67066	101.190674	91.00748	100.922195	100.426575	97.148796
"236337_at"	8.65674	10.240573	8.106516	10.612958	10.955906	10.781605
"236338_at"	17.16867	16.86909	24.222593	18.342407	20.549196	23.098778
"236339_at"	63.38595	45.973022	41.670673	54.329765	43.9551	51.61291
"236340_at"	23.882797	26.577244	24.803152	34.335007	24.134016	25.537186
"236341_at"	11.881376	8.611637	12.775681	9.8290205	10.295392	11.322196
"236342_at"	17.905851	20.024578	20.024578	20.105654	26.606546	20.875696
"236343_at"	23.118177	32.132565	34.859646	30.930664	34.434208	51.07503
"236344_at"	39.317432	35.5076	38.06362	42.724613	40.43644	30.45867
"236345_at"	14.697643	13.166002	12.710455	11.752852	14.856556	12.738506
"236346_at"	130.36247	146.99945	136.24948	130.80167	135.19612	117.69717
"236347_at"	77.01886	65.564064	55.130875	81.20954	48.53388	64.42206
"236348_at"	15.677908	18.345404	19.875011	17.962484	18.21385	19.036573
"236349_at"	7.272373	9.181965	8.465352	8.202245	7.9104114	7.521344
"236350_at"	90.42711	81.514496	60.096626	78.95196	78.721664	67.08103
"236351_at"	16.979185	18.543724	17.816498	21.151808	19.843828	18.403145
"236352_at"	47.110672	62.971176	57.53705	51.786076	61.30452	48.504883
"236353_at"	24.642038	20.300158	36.488976	28.489555	25.263712	24.569431
"236354_at"	7.4347844	8.090405	8.097852	6.8871536	6.823336	7.236932
"236355_s_at"	14.916376	17.31878	18.536446	17.746378	14.887122	16.169674
"236356_at"	224.79745	241.27028	156.45906	252.06026	240.27156	153.52432
"236357_at"	43.99183	48.86518	46.74084	45.846684	44.211613	37.257786
"236358_at"	78.13327	74.85974	64.52051	55.873447	79.104004	62.88908
"236359_at"	5.751606	5.752996	6.1449256	6.56502	6.96721	6.7424493
"236360_at"	6.59113	7.1670275	8.400649	8.412842	6.939734	6.710638
"236361_at"	9.924007	11.726991	11.488246	10.461572	12.406709	10.784196
"236362_at"	41.692936	42.691624	52.47135	45.73934	44.17892	41.230137
"236363_at"	15.84712	21.490147	17.822498	16.26385	18.29719	20.29439
"236364_at"	24.886162	30.405159	36.256474	29.281204	23.978266	31.23624
"236365_at"	10.229082	10.187669	9.968956	10.631408	11.986092	15.209938
"236366_at"	20.189886	20.978498	26.4288	21.855001	26.066784	27.748487
"236367_at"	26.266373	31.884375	39.9064	31.814667	35.832413	32.018047
"236368_at"	56.763493	67.96228	73.5669	63.465797	63.971176	66.14616
"236369_at"	68.13454	66.08228	67.15486	61.748955	63.40713	67.24141
"236370_at"	28.168688	30.25328	23.021074	24.58337	22.40643	22.135468
"236371_s_at"	116.74895	105.17681	88.59881	107.779236	115.11164	79.55207
"236372_at"	83.857994	59.449917	72.5874	78.218414	61.457935	64.51741
"236373_at"	19.04184	19.45216	19.263386	17.802952	20.423998	18.021082
"236374_at"	10.105909	9.180876	9.693247	10.101929	11.07823	9.723171
"236375_at"	32.459072	37.945034	52.11508	38.747467	46.13846	44.478264
"236376_at"	8.734011	12.883429	10.544767	6.786633	10.296286	11.105806
"236377_at"	11.187225	13.73068	13.65803	11.519054	11.493346	11.253731
"236378_at"	19.245115	21.99886	22.593624	18.483238	20.057924	18.96367
"236379_at"	147.33786	174.08423	217.3312	148.42842	174.69121	206.10931
"236380_at"	58.753742	49.11863	50.444023	54.321148	52.04628	54.88922
"236381_s_at"	275.95053	306.76785	258.73566	283.84192	280.69345	292.91568
"236382_at"	31.43495	35.49435	34.72462	36.638298	40.12062	34.32495
"236383_at"	8.304858	9.326069	8.171688	7.724641	8.057061	8.411514
"236384_at"	95.43282	105.112144	76.59517	95.545715	109.05051	82.40711
"236385_at"	17.05515	17.671879	12.582229	12.590682	16.82521	15.041346
"236386_at"	23.929731	32.388042	31.440144	27.319725	29.03218	27.59697
"236387_at"	20.755798	17.791718	21.328972	19.709332	14.2862625	16.863464
"236388_at"	277.47864	239.48546	236.39786	256.65982	235.23444	241.94547
"236389_x_at"	28.42214	30.479395	26.017876	30.87861	28.046116	29.411089
"236390_at"	112.8804	127.97944	96.99422	107.09444	128.5708	81.28645
"236391_at"	11.868471	13.2327	12.087332	10.539266	11.88817	12.331355
"236392_at"	42.43396	44.60966	38.455376	52.33203	47.694164	42.75319
"236393_at"	19.179018	21.596205	23.005451	24.151659	22.861553	22.88341
"236394_at"	22.198425	24.198027	20.808964	18.282934	21.789762	20.938793
"236395_at"	17.509031	24.76236	22.1874	20.818169	25.917337	22.73092
"236396_at"	10.253216	9.761351	14.101924	10.278117	10.053454	12.96391
"236397_at"	35.232243	29.43116	28.942236	34.04657	29.593853	36.1099
"236398_s_at"	24.269642	28.972872	24.34274	23.591003	25.452063	21.22388
"236399_at"	7.014969	9.149148	8.336387	6.916083	10.936316	11.911795
"236400_at"	65.259186	58.249004	53.28851	71.40946	56.204044	64.5929
"236401_at"	29.052385	26.987225	27.078531	27.23651	28.148697	27.150118
"236402_at"	120.64535	107.53951	88.28719	142.47876	114.10514	113.654366
"236403_at"	54.499435	65.027405	65.27077	67.804054	67.13253	62.644016
"236404_at"	9.914089	7.792751	7.821671	8.308656	9.956478	6.600515
"236405_at"	46.29956	38.167	37.970688	57.22329	51.360306	45.35498
"236406_at"	48.216244	46.138775	40.989365	46.39418	52.520004	50.77316
"236407_at"	7.7119255	8.2493515	7.189702	8.608408	7.982535	7.437075
"236408_at"	86.75048	146.24974	118.97114	101.00609	115.120056	111.12621
"236409_at"	9.118916	10.619853	8.819521	10.610581	11.789227	10.5161
"236410_x_at"	147.48798	159.43019	157.9686	126.03226	145.03046	141.66273
"236411_at"	101.971275	117.45499	187.9137	104.87107	141.48277	184.06636
"236412_at"	9.516376	7.9995213	6.921069	9.748976	8.426046	8.358615
"236413_at"	88.441345	99.24685	85.300125	97.290115	95.045265	94.46044
"236414_at"	7.9990625	9.034927	8.271589	8.979009	6.9644756	7.4356985
"236415_at"	22.828474	21.517866	23.325916	23.152903	20.60993	22.382269
"236416_at"	19.782257	21.539818	18.345137	20.945755	19.97139	20.404438
"236417_at"	21.627707	22.131458	22.122602	16.860098	21.793234	19.154293
"236418_at"	11.875478	13.953285	14.244406	13.279375	13.827373	14.947555
"236419_at"	5.823551	5.0759134	5.674123	6.261928	5.4929576	5.150312
"236420_s_at"	214.06593	213.63202	206.47116	114.39987	172.44206	158.51295
"236421_at"	8.406413	9.56683	6.8975806	8.691724	9.95847	8.902338
"236422_at"	20.606213	24.991537	27.269892	20.222616	20.54073	25.70257
"236423_at"	21.08546	23.188942	25.257833	20.655205	26.073332	23.954334
"236424_at"	83.06895	73.54604	76.89357	76.76056	83.81679	72.41566
"236425_at"	19.604628	16.216822	18.885141	16.730164	19.945011	19.590643
"236426_at"	68.36004	71.3506	74.012634	66.33208	79.2761	75.30703
"236427_at"	20.222937	20.378975	19.373726	17.339973	20.888464	19.788412
"236428_at"	27.319193	25.671429	34.40539	42.069977	33.090477	41.09054
"236429_at"	67.68767	56.927513	66.65246	68.48198	67.10726	53.352764
"236430_at"	12.471377	13.327507	11.876387	11.466545	12.562187	9.939011
"236431_at"	36.71092	48.692207	45.78788	47.556114	39.918667	40.96217
"236432_at"	20.149893	20.109608	23.309423	20.625257	22.293959	23.973558
"236433_at"	13.268122	11.305463	10.686295	11.778787	12.46283	12.48499
"236434_at"	16.42686	17.277388	14.602219	16.350533	16.350636	15.362643
"236435_at"	22.706411	22.880634	22.076468	22.146158	20.25907	22.41108
"236436_at"	57.61629	68.963036	61.02273	48.39279	57.17873	52.656395
"236437_at"	10.905393	14.817181	14.061234	12.151961	13.249998	14.180242
"236438_at"	16.429993	17.170425	18.302832	15.03406	13.070215	17.68814
"236439_at"	8.920613	14.295889	9.308452	11.082451	14.148444	9.03631
"236440_at"	22.309446	19.046965	17.937067	17.608637	21.976011	22.099384
"236441_at"	71.603714	73.1934	71.41015	67.58228	65.32399	69.347145
"236442_at"	23.210213	35.48769	36.544533	24.487484	33.0639	38.110035
"236443_at"	8.326591	10.704761	11.186433	9.771458	10.9396105	10.505071
"236444_x_at"	8.630425	9.232516	10.847133	10.078354	9.258044	9.015939
"236445_at"	24.094587	30.099644	27.586008	22.71081	26.341871	24.070024
"236446_at"	29.944035	27.647457	34.690388	33.093178	38.9103	48.069565
"236447_at"	45.063797	46.705692	45.891224	44.584396	48.161198	50.380325
"236448_at"	30.625626	30.971338	27.118109	31.62478	30.753515	21.342045
"236449_at"	26.598475	24.383154	26.882782	25.55246	23.570406	26.00247
"236450_at"	10.169077	10.294429	11.248097	11.399852	11.363452	9.534789
"236451_at"	4.202323	4.551851	4.6052136	4.5858765	4.2149034	4.4770956
"236452_at"	19.34366	18.916569	20.96571	22.195314	20.297031	23.271412
"236453_at"	44.90266	41.216686	34.99921	45.417145	36.862904	45.86479
"236454_at"	79.51469	87.17058	107.3304	89.414665	91.77274	86.57381
"236455_at"	28.620934	29.284542	24.96625	28.187586	28.254501	23.772697
"236456_at"	18.883112	18.23336	16.089676	17.788383	16.00192	16.075674
"236457_at"	33.344685	24.97807	30.863754	29.001078	31.013418	29.841066
"236458_at"	41.13752	48.070457	47.832314	46.31465	44.42816	51.53157
"236459_at"	23.890123	28.093023	26.505686	31.015621	25.850958	24.067877
"236460_at"	38.725433	43.92919	50.914944	41.870777	48.86058	54.693493
"236461_at"	14.261266	17.650818	20.464216	14.286261	15.097266	13.759915
"236462_at"	58.782043	69.32162	63.01623	61.51683	66.70052	60.87779
"236463_at"	62.99428	69.89245	67.02381	65.06021	61.173157	62.053944
"236464_at"	14.838975	18.964409	15.402445	18.777136	19.853241	16.521767
"236465_at"	26.39432	26.291796	26.690062	27.042316	27.583548	29.922962
"236466_at"	7.2264495	7.6424303	7.912804	7.618835	7.7791133	8.071242
