ID_REF	DESCRIPTION	GSM637872	GSM637873	GSM637874	GSM637875	GSM637876	GSM637877
8174092		9.042533	8.796805	9.535731	9.909495	6.598565	6.733387
8174103		9.069281	9.071216	9.053202	9.412365	9.074884	9.066767
8174105		4.978554	4.891642	4.796779	4.648702	4.817473	4.552474
8174119		5.562731	5.616064	5.965796	6.269621	5.32002	5.311959
8174132		3.240792	2.82934	2.931218	3.11373	2.820004	2.824902
8174134		9.020802	9.110746	9.106121	9.221	8.868523	9.303389
8174141		6.312927	6.486208	8.682457	8.783976	5.6667	5.396443
8174149		4.575253	4.718378	4.582735	4.63288	4.549024	4.562865
8174189		3.44252	3.495895	3.451767	3.778454	3.359834	3.262738
8174193		6.181737	6.416381	5.615573	5.847457	6.245459	5.868671
8174195		6.185824	5.803924	5.445018	5.876962	6.160553	5.874351
8174197		3.413177	3.315599	3.249349	3.186228	3.263587	3.336445
8174199		3.819013	4.286801	3.633749	3.864775	3.644167	3.778619
8174201		5.587333	5.565158	5.249919	5.353527	5.389575	5.189031
8174207		5.65449	5.573992	5.410431	5.242942	4.987006	5.173308
8174226		7.26908	6.796913	6.646145	6.789315	6.480848	6.779912
8174228		8.770622	8.573165	9.123919	9.314711	8.516865	8.758717
8174235		4.820374	4.85293	5.021724	5.058177	4.971682	4.871309
8174239		6.728963	6.708556	7.274005	7.727781	6.845742	6.493733
8174246		6.913011	6.826091	6.91659	6.657504	6.754356	6.64056
8174251		4.757949	4.774713	5.158273	4.910235	4.897818	4.897107
8174253		11.15471	11.07618	11.19895	11.1384	10.99158	11.0385
8174263		6.181407	6.40512	6.193344	6.448306	6.030493	6.040673
8174271		6.065439	6.323471	7.067669	7.046314	6.290214	6.164333
8174277		3.760754	3.747286	3.511606	3.491486	3.208241	3.475957
8174279		6.655754	6.803195	6.66732	6.640463	6.518321	6.66732
8174281		4.202518	4.183667	4.18262	4.442541	4.331406	4.085187
8174283		5.776249	5.681028	5.57038	5.780501	5.453115	5.756911
8174288		6.332435	6.268256	6.508504	6.370573	6.146727	6.131173
8174291		5.295215	5.19134	5.033278	5.471419	5.295953	5.021348
8174297		5.802555	5.795876	5.735864	5.776921	5.707235	5.759788
8174302		2.998379	2.543582	2.798057	2.767289	2.994112	2.682887
8174304		4.4227	4.109882	4.096542	4.186017	3.888821	4.172632
8174311		3.019124	2.905496	2.891062	3.007986	2.816287	3.067719
8174313		7.630431	7.729081	8.068751	8.469389	6.961287	7.262073
8174317		6.117504	6.42276	6.173025	6.089983	6.05708	5.846882
8174322		8.35872	8.371022	8.846322	8.836681	7.636436	7.73103
8174338		8.754811	8.903887	8.997466	9.089879	8.68413	8.465761
8174340		7.49348	7.578339	8.289234	7.990735	7.12211	7.16273
8174351		5.892379	5.965135	6.454623	6.19384	5.639624	5.911934
8174361		9.248425	9.162362	9.525703	8.842025	9.480013	9.82768
8174373		3.239967	3.045812	3.265685	3.186882	2.964195	2.986166
8174375		6.010009	6.692558	5.906462	6.23537	6.375722	6.298055
8174379		9.546905	9.654795	9.865942	9.594513	8.995543	9.197713
8174389		5.985416	5.896283	5.809624	5.803121	5.673392	5.707105
8174442		4.316575	4.220417	4.370114	4.341349	4.272953	4.363116
8174444		5.07852	5.034979	4.915173	4.865958	4.960504	5.133318
8174448		5.021305	4.799135	4.726651	4.500373	4.759243	4.69874
8174469		7.000595	7.292042	7.01334	6.990611	7.092052	7.053383
8174474		10.65167	10.58899	11.13251	10.99137	9.861665	10.07235
8174494		2.42442	2.638169	2.588804	2.790797	2.827991	2.681294
8174496		8.273637	8.221998	8.49532	8.367677	7.681557	7.758047
8174507		5.755737	5.742406	5.844976	5.646979	5.652421	5.765418
8174509		11.43558	11.2795	11.44186	11.2336	11.10727	11.11467
8174513		9.659034	9.643013	9.868077	9.89224	5.925839	5.762775
8174527		5.197279	5.557246	5.309822	4.99958	5.163427	5.434916
8174543		4.857762	4.998964	4.914914	5.166269	4.893708	4.801828
8174554		4.92883	4.773095	4.920765	5.034682	4.829226	4.791561
8174556		5.247657	5.268376	4.932344	4.998086	4.790787	4.760173
8174568		4.325485	4.714403	4.736278	4.595192	4.108013	4.627883
8174576		7.10128	6.962061	7.610955	7.483575	5.57548	5.881741
8174592		3.704311	3.476904	3.467202	3.609795	3.536974	3.771952
8174594		3.755411	3.55924	3.36212	3.8736	3.297229	3.621985
8174596		4.297283	4.321269	4.088596	4.183438	3.907342	4.161461
8174598		5.264838	5.584889	9.658672	9.561667	4.2341	4.523083
8174610		3.630368	3.804851	4.052012	4.117043	3.822187	3.6127
8174634		3.007748	2.915577	2.970798	3.091478	3.132955	3.196882
8174636		11.2436	11.23505	11.54418	11.4261	11.52076	11.58343
8174642		7.214812	7.54371	7.035191	7.25184	7.045828	7.038816
8174644		4.651375	4.569489	4.516333	4.565971	4.270742	4.259514
8174646		3.722958	3.703012	3.847892	3.68596	3.620651	3.589772
8174648		7.021865	6.876284	7.708863	7.692935	6.202157	6.347305
8174654		4.476545	4.59151	5.889233	6.09621	4.302341	4.509999
8174664		4.659757	4.564203	5.305031	5.806321	6.124851	5.164228
8174666		4.919951	5.006553	5.026083	4.862659	5.016819	4.727476
8174668		2.8747	2.79665	2.61824	2.694345	2.691058	2.759682
8174670		4.236454	4.464582	4.710821	4.899221	4.565898	4.485507
8174675		7.058785	7.135403	7.064872	6.965821	7.02522	7.001232
8174677		8.301739	8.302883	8.146067	8.042447	7.453298	7.785779
8174684		8.045192	8.113816	8.399684	7.983322	7.24886	7.358524
8174692		7.328853	7.338973	7.835183	7.703321	7.328462	7.494945
8174710		11.45267	11.47241	11.62621	11.74614	11.00261	11.02262
8174715		6.528862	6.139791	6.324745	5.993463	5.367346	5.530495
8174717		7.737761	7.837184	7.621295	7.370232	6.938225	7.225963
8174731		7.456223	7.354136	7.30792	7.346737	6.751015	6.925991
8174737		8.26291	8.228017	8.304736	8.436674	7.941772	8.08762
8174750		5.602028	5.639498	5.84025	5.672223	5.526166	5.66619
8174755		6.088761	5.926106	6.332026	6.300617	6.01185	6.057494
8174761		6.112439	5.860971	5.991087	5.899426	5.594874	5.899426
8174767		5.262449	5.170666	5.34588	5.053563	5.089612	5.144689
8174779		10.37014	10.44247	11.34485	11.09069	10.53743	10.70557
8174794		9.748826	9.883432	10.18922	9.919729	9.656864	9.760657
8174820		6.97185	7.017805	7.345259	7.233509	6.55045	6.892448
8174831		6.304609	6.206507	6.063304	5.887416	6.198824	6.26329
8174837		6.18083	6.205637	6.043865	5.785119	6.173191	6.125553
8174841		6.18083	6.205637	6.043865	5.785119	6.173191	6.125553
8174845		6.18083	6.205637	6.043865	5.785119	6.173191	6.125553
8174849		6.18083	6.205637	6.043865	5.785119	6.173191	6.125553
8174853		6.285093	6.346681	6.129786	5.950438	6.262218	6.191937
8174862		6.18083	6.205637	6.043865	5.785119	6.173191	6.125553
8174867		6.18083	6.205637	6.043865	5.785119	6.173191	6.125553
8174872		6.18083	6.205637	6.043865	5.785119	6.173191	6.125553
8174876		6.18083	6.205637	6.043865	5.785119	6.173191	6.125553
8174882		6.18083	6.205637	6.043865	5.785119	6.173191	6.125553
8174887		3.799309	3.92916	3.912881	3.887509	4.035563	3.853746
8174889		6.405665	6.340786	6.077057	5.89566	6.35199	5.572011
8174891		6.615693	6.75456	6.612484	6.430631	6.78778	6.389507
8174893		9.706633	9.753519	10.2368	10.14056	9.304114	9.347519
8174933		3.284992	3.152178	3.032056	3.099072	3.080263	3.387999
